,weight,height,label,predict
0,0.35,0.985,thin,thin
1,0.6,0.91,thin,thin
2,0.68,0.645,fat,fat
3,0.73,0.77,fat,fat
4,0.52,0.62,fat,fat
5,0.42,0.98,thin,thin
6,0.51,0.95,thin,thin
7,0.36,0.965,thin,thin
8,0.63,0.78,fat,fat
9,0.42,0.81,thin,thin
10,0.69,0.615,fat,fat
11,0.63,0.84,normal,normal
12,0.79,0.85,fat,fat
13,0.68,0.685,fat,fat
14,0.38,0.87,thin,thin
15,0.79,0.76,fat,fat
16,0.51,0.935,thin,thin
17,0.45,0.675,normal,normal
18,0.66,0.845,normal,normal
19,0.46,0.72,normal,normal
20,0.8,0.71,fat,fat
21,0.49,0.695,fat,fat
22,0.68,0.955,normal,normal
23,0.46,0.795,thin,thin
24,0.57,0.625,fat,fat
25,0.53,0.95,thin,thin
26,0.52,0.62,fat,fat
27,0.43,0.64,fat,fat
28,0.49,0.775,normal,normal
29,0.67,0.99,thin,thin
30,0.48,0.915,thin,thin
31,0.79,0.74,fat,fat
32,0.6,0.81,normal,normal
33,0.43,0.87,thin,thin
34,0.64,0.775,fat,fat
35,0.53,0.96,thin,thin
36,0.48,0.655,fat,fat
37,0.43,0.91,thin,thin
38,0.61,0.845,normal,normal
39,0.61,0.905,normal,normal
40,0.64,0.885,normal,normal
41,0.42,0.97,thin,thin
42,0.42,0.63,fat,fat
43,0.76,0.985,normal,normal
44,0.65,0.685,fat,fat
45,0.46,0.705,normal,normal
46,0.6,0.67,fat,fat
47,0.72,0.805,fat,fat
48,0.46,0.98,thin,thin
49,0.39,0.98,thin,thin
50,0.38,0.905,thin,thin
51,0.35,0.775,thin,thin
52,0.42,0.71,normal,normal
53,0.57,1.0,thin,thin
54,0.8,0.98,normal,normal
55,0.6,0.88,normal,normal
56,0.65,0.85,normal,normal
57,0.41,1.0,thin,thin
58,0.56,0.97,thin,thin
59,0.52,0.955,thin,thin
60,0.43,0.655,fat,normal
61,0.4,0.635,normal,normal
62,0.43,0.61,fat,fat
63,0.6,0.72,fat,fat
64,0.61,0.725,fat,fat
65,0.57,0.895,thin,thin
66,0.66,0.85,normal,normal
67,0.57,0.79,normal,normal
68,0.36,0.835,thin,thin
69,0.47,0.895,thin,thin
70,0.61,0.63,fat,fat
71,0.51,0.87,thin,thin
72,0.77,0.82,fat,fat
73,0.51,0.87,thin,thin
74,0.49,0.82,thin,thin
75,0.43,0.675,normal,normal
76,0.62,0.89,normal,normal
77,0.47,0.805,thin,thin
78,0.73,0.945,normal,normal
79,0.46,0.91,thin,thin
80,0.59,0.905,thin,thin
81,0.49,0.675,fat,fat
82,0.44,0.6,fat,fat
83,0.73,0.96,normal,normal
84,0.53,0.745,normal,normal
85,0.63,0.895,normal,normal
86,0.63,0.905,normal,normal
87,0.44,0.895,thin,thin
88,0.74,0.875,normal,normal
89,0.53,0.95,thin,thin
90,0.46,0.81,thin,thin
91,0.8,0.96,normal,normal
92,0.55,0.64,fat,fat
93,0.48,0.675,fat,fat
94,0.43,0.6,fat,fat
95,0.66,0.875,normal,normal
96,0.48,0.835,thin,thin
97,0.49,0.74,normal,normal
98,0.6,0.7,fat,fat
99,0.76,0.62,fat,fat
100,0.71,0.98,thin,normal
101,0.52,0.985,thin,thin
102,0.43,0.84,thin,thin
103,0.64,0.995,thin,thin
104,0.78,0.61,fat,fat
105,0.66,0.96,thin,thin
106,0.42,0.975,thin,thin
107,0.61,0.835,normal,normal
108,0.51,0.855,thin,thin
109,0.47,0.72,normal,normal
110,0.57,0.89,thin,thin
111,0.39,0.73,thin,thin
112,0.63,0.85,normal,normal
113,0.41,0.77,thin,thin
114,0.73,0.64,fat,fat
115,0.5,0.685,fat,fat
116,0.63,0.685,fat,fat
117,0.59,0.96,thin,thin
118,0.38,0.885,thin,thin
119,0.56,0.965,thin,thin
120,0.62,0.69,fat,fat
121,0.53,0.62,fat,fat
122,0.65,0.95,thin,thin
123,0.7,0.725,fat,fat
124,0.55,0.74,fat,normal
125,0.61,0.72,fat,fat
126,0.47,0.78,normal,normal
127,0.55,0.915,thin,thin
128,0.79,0.91,normal,normal
129,0.54,0.75,normal,normal
130,0.41,0.835,thin,thin
131,0.69,0.8,fat,fat
132,0.72,0.88,normal,normal
133,0.8,0.665,fat,fat
134,0.35,0.715,thin,thin
135,0.47,0.87,thin,thin
136,0.4,0.895,thin,thin
137,0.43,0.66,normal,normal
138,0.71,0.785,fat,fat
139,0.37,0.895,thin,thin
140,0.73,0.805,fat,fat
141,0.77,0.965,normal,normal
142,0.66,0.685,fat,fat
143,0.42,0.795,thin,thin
144,0.46,0.65,fat,fat
145,0.6,0.745,fat,fat
146,0.37,0.905,thin,thin
147,0.8,0.76,fat,fat
148,0.42,0.995,thin,thin
149,0.69,0.915,normal,normal
150,0.79,0.96,normal,normal
151,0.42,0.78,thin,thin
152,0.37,0.675,normal,normal
153,0.58,0.925,thin,thin
154,0.49,0.975,thin,thin
155,0.6,0.885,normal,normal
156,0.66,0.755,fat,fat
157,0.53,0.9,thin,thin
158,0.59,0.795,normal,normal
159,0.55,0.79,normal,normal
160,0.63,0.945,thin,thin
161,0.48,0.735,normal,normal
162,0.69,0.72,fat,fat
163,0.51,0.96,thin,thin
164,0.73,0.86,normal,normal
165,0.79,0.96,normal,normal
166,0.51,0.71,fat,fat
167,0.79,0.77,fat,fat
168,0.71,0.935,normal,normal
169,0.35,0.72,thin,thin
170,0.45,0.735,normal,normal
171,0.73,0.735,fat,fat
172,0.43,0.905,thin,thin
173,0.49,0.855,thin,thin
174,0.51,0.915,thin,thin
175,0.79,0.765,fat,fat
176,0.65,0.74,fat,fat
177,0.78,0.78,fat,fat
178,0.39,0.655,normal,normal
179,0.67,0.78,fat,fat
180,0.46,0.775,normal,normal
181,0.66,0.88,normal,normal
182,0.79,0.78,fat,fat
183,0.69,0.65,fat,fat
184,0.46,0.935,thin,thin
185,0.67,0.785,fat,fat
186,0.61,0.765,fat,fat
